objectid,title,proj_url,subject,creator,description,platform,CMS status,type,date,Project status,Location,repository,identifier,display_template,object_location,image_small,image_thumb,image_alt_text
ds001,Iranica: modes of transmission,https://digitalprojects.brynmawr.edu/iranica,speccoll; exhibit,Bryn Mawr College Special Collections,,Static,Static,Exhibit,2005,Completed,dp,,89-1163,image,/objects/89-1163.jpg,/objects/small/89-1163_sm.jpg,/objects/thumbs/89-1163_th.jpg,
ds002,Intimate devotion: the book of hours in medieval religious practice,https://digitalprojects.brynmawr.edu/intimate-devotion,exhibition,Bryn Mawr College Special Collections,,Static,Static,Exhibit,2008,Completed,dp,,89-1172,image,https://digitalprojects.brynmawr.edu/intimate-devotion/index.jpg,https://digitalprojects.brynmawr.edu/intimate-devotion/index.jpg,https://digitalprojects.brynmawr.edu/intimate-devotion/index.jpg,
ds003,History of Women in Science,https://digitalscholarship.brynmawr.edu/howis/,college history;,Bryn Mawr College Digital Scholarship,,Static (html) with 3d,Static,3D,2019,Completed,ds,,89-1173,image,/objects/89-1173.jpg,/objects/small/89-1173_sm.jpg,/objects/thumbs/89-1173_th.jpg,
ds004,Journeways to the West,https://digitalscholarship.brynmawr.edu/journeyways/,dbmg; dssf; faculty,Bryn Mawr College Digital Scholarship,,Static (html temp) with 3d,Static,3D,2019,Completed,ds,,89-1174,image,https://digitalscholarship.brynmawr.edu/journeyways/images/screen_1.png,https://digitalscholarship.brynmawr.edu/journeyways/images/screen_1.png,https://digitalscholarship.brynmawr.edu/journeyways/images/screen_1.png,
ds005,Living Campus,https://digitalscholarship.brynmawr.edu/livingcampus/,dbmg; bmc,Bryn Mawr College Digital Scholarship,,Leaflet map,Static,Map,2019,Completed,"ds, github",,89-1175,image,/objects/89-1175.jpg,/objects/small/89-1175_sm.jpg,/objects/thumbs/89-1175_th.jpg,
ds006,TLV Mirrors,https://digitalscholarship.brynmawr.edu/tlv/,dbmg; faculty,Bryn Mawr College Digital Scholarship,,"3d models, javascript app",Static,3D,2019,Completed,ds,,89-1176,image,/objects/89-1176.jpg,/objects/small/89-1176_sm.jpg,/objects/thumbs/89-1176_th.jpg,
ds007,24 '31 Students Study Race,https://digitalscholarship.brynmawr.edu/24-31,dbmg; dssf; college histories,Bryn Mawr College Digital Scholarship,,Omeka,Running,Exhibit,2020,Completed,ds,,89-1177,image,/objects/89-1177.jpg,/objects/small/89-1177_sm.jpg,/objects/thumbs/89-1177_th.jpg,
ds008,Coloring the Past,https://digitalscholarship.brynmawr.edu/coloringthepast,dbmg; lits,Bryn Mawr College Digital Scholarship,,Wordpress,Running,3D,2020,Completed,dooo - Laura S.,,89-1178,image,/objects/coloring-past.png,/objects/small/coloring-past_sm.jpg,/objects/thumbs/coloring-past_th.jpg,
ds009,1960s Students Confronting Race (WBBM),https://digitalprojects.brynmawr.edu/who-built,wbbm; college histories,Who Built Bryn Mawr?,,Wordpress (with custom dev),Running,Exhibit,2021,Completed,dp,,89-1179,image,/objects/89-1179.jpg,/objects/small/89-1179_sm.jpg,/objects/thumbs/89-1179_th.jpg,
ds010,Text Mining *The College News*,https://digitalscholarship.brynmawr.edu/collegenews/,dssf; college history,Bryn Mawr College Digital Scholarship,,Jekyll,Static,Text mining,2021,Completed,"ds, github",,89-1181,image,https://digitalscholarship.brynmawr.edu/collegenews/assets/img/portfolio/issue-length-thumb.png,https://digitalscholarship.brynmawr.edu/collegenews/assets/img/portfolio/issue-length-thumb.png,https://digitalscholarship.brynmawr.edu/collegenews/assets/img/portfolio/issue-length-thumb.png,
